,reward
865,-64.4
866,-109.2
867,-88.8
868,-77.2
869,-89.2
870,-112.4
871,-126.8
872,-92.0
873,-118.8
874,-123.2
875,-55.2
876,-127.2
877,-88.8
878,-110.8
879,-93.6
880,-131.6
881,-131.6
882,-131.6
883,-120.8
884,-118.8
885,-122.4
886,-131.6
887,-131.6
888,-131.6
889,-89.2
890,-96.4
891,-131.6
892,-88.8
893,-131.6
894,-131.6
895,-131.6
896,-92.0
897,-131.2
898,-131.6
899,-131.6
900,-118.0
901,-138.4
902,-109.2
903,-102.0
904,-53.2
905,-148.8
906,-76.0
907,-62.4
908,-131.6
909,-52.8
910,-111.2
911,-94.0
912,-131.6
913,-131.6
914,-116.0
915,-131.6
916,-131.6
917,-110.8
918,-114.4
919,-122.4
920,-56.4
921,-131.6
922,-128.4
923,-131.6
924,-131.6
925,-103.2
926,-49.2
927,-34.0
928,-34.0
929,-50.0
930,-34.0
931,-34.0
932,-48.0
933,-14.0
934,4.0
935,-9.2
936,-44.4
937,-34.0
938,-39.6
939,-36.0
940,-36.0
941,-36.0
942,-31.2
943,-36.0
944,-36.0
945,-36.0
946,-44.0
947,-36.0
948,-36.0
949,-36.0
950,-36.0
951,-36.0
952,-36.0
953,-36.0
954,-36.0
955,-60.4
956,-36.0
957,-53.6
958,-36.0
959,-36.0
960,-36.0
961,-36.0
962,-44.8
963,-36.0
964,-36.0
965,-53.2
966,-93.6
967,-36.0
968,-36.0
969,-36.0
970,-36.0
971,-36.0
972,-44.8
973,-44.4
974,-60.4
975,-36.0
976,-36.0
977,-36.0
978,-36.0
979,-36.0
980,-36.0
981,-36.0
982,-36.0
983,-53.6
984,-36.0
985,-53.6
986,-36.0
987,-44.8
988,-53.6
989,-49.2
990,-36.0
991,-49.2
992,-49.2
993,-36.0
994,-36.0
995,-36.0
996,-53.6
997,-36.0
998,-36.0
999,-36.0
1000,-70.4
1001,-36.0
1002,-36.0
1003,-36.0
1004,-53.6
1005,-40.0
1006,-36.0
1007,-70.0
1008,-36.0
1009,-31.2
1010,-44.8
1011,-66.8
1012,-54.4
1013,-53.6
1014,-40.4
1015,-36.0
1016,-36.0
1017,-36.0
1018,-70.0
1019,-44.8
1020,-36.0
1021,-40.4
1022,-36.0
1023,-55.2
1024,-36.0
1025,-44.8
1026,-36.0
1027,-36.0
1028,-36.0
1029,-36.0
1030,-36.0
1031,-40.4
1032,-60.4
1033,-44.8
1034,-60.4
1035,-36.0
1036,-36.0
1037,-74.4
1038,-36.0
1039,-36.0
1040,-36.0
1041,-36.0
1042,-50.8
1043,-36.0
1044,-36.0
1045,-36.0
1046,-36.0
1047,-78.8
1048,-40.4
1049,-36.0
1050,-36.0
1051,-36.0
1052,-36.0
1053,-31.2
1054,-49.2
1055,-36.0
1056,-36.0
1057,-40.4
1058,-36.0
1059,-36.0
1060,-44.8
1061,-74.4
1062,-50.8
1063,-36.0
1064,-36.0
1065,-41.2
1066,-36.0
1067,-36.0
1068,-36.0
1069,-40.4
1070,-53.2
1071,-31.2
1072,-52.8
1073,-36.0
1074,-36.0
1075,-40.8
1076,-36.0
1077,-36.0
1078,-36.0
1079,-36.0
1080,-36.0
1081,-36.0
1082,-36.0
1083,-31.2
1084,-36.0
1085,-36.0
1086,-36.0
1087,-36.0
1088,-36.0
1089,-36.0
1090,-36.0
1091,-50.8
1092,-74.4
1093,-49.2
1094,-53.6
1095,-70.0
1096,-36.0
1097,-58.0
1098,-36.0
1099,-49.2
1100,-73.6
1101,-36.0
1102,-53.6
1103,-36.0
1104,-36.0
1105,-49.2
1106,-36.0
1107,-36.0
1108,-31.2
1109,-41.2
1110,-36.0
1111,-40.4
1112,-36.0
1113,-36.0
1114,-31.2
1115,-36.0
1116,-45.6
1117,-44.8
1118,-45.6
1119,-36.0
1120,-36.0
1121,-31.2
1122,-64.8
1123,-36.0
1124,-68.4
1125,-49.2
1126,-36.0
1127,-36.0
1128,-49.2
1129,-36.0
1130,-36.0
1131,-70.4
1132,-36.0
1133,-70.0
1134,-84.8
1135,-35.2
1136,-36.0
1137,-36.0
1138,-49.2
1139,-36.0
1140,-36.0
1141,-36.0
1142,-44.8
1143,-36.0
1144,-36.0
1145,-53.2
1146,-36.0
1147,-36.0
1148,-53.6
1149,-36.0
1150,-44.8
1151,-36.0
1152,-36.0
1153,-64.8
1154,-36.0
1155,-36.0
1156,-36.0
1157,-36.0
1158,-50.8
1159,-49.2
1160,-36.0
1161,-44.8
1162,-79.6
1163,-36.0
1164,-36.0
1165,-36.0
1166,-36.0
1167,-53.6
1168,-36.0
1169,-36.0
1170,-36.0
1171,-36.0
1172,-36.0
1173,-36.0
1174,-36.0
1175,-36.0
1176,-36.0
1177,-36.0
1178,-31.2
1179,-54.4
1180,-36.0
1181,-53.6
1182,-53.6
1183,-31.2
1184,-36.0
1185,-40.4
1186,-36.0
1187,-40.4
1188,-36.0
1189,-36.0
1190,-36.0
1191,-36.0
1192,-40.4
1193,-53.6
1194,-36.0
1195,-36.0
1196,-36.0
1197,-82.0
1198,-31.2
1199,-36.0
1200,-44.8
1201,-36.0
1202,-36.0
1203,-44.8
1204,-36.0
1205,-36.0
1206,-36.0
1207,-78.4
1208,-36.0
1209,-36.0
1210,-36.0
1211,-36.0
1212,-70.0
1213,-36.0
1214,-36.0
1215,-64.8
1216,-36.0
1217,-40.4
1218,-36.0
1219,-49.2
1220,-36.0
1221,-36.0
1222,-36.0
1223,-36.0
1224,-31.2
1225,-36.0
1226,-31.2
1227,-36.0
1228,-49.2
1229,-40.4
1230,-53.6
1231,-53.2
1232,-36.0
1233,-36.0
1234,-36.0
1235,-36.0
1236,-35.6
1237,-36.0
1238,-44.8
1239,-91.6
1240,-57.6
1241,-53.6
1242,-36.0
1243,-36.0
1244,-36.0
1245,-36.0
1246,-60.4
1247,-36.0
1248,-36.0
1249,-36.0
1250,-36.0
1251,-36.0
1252,-36.0
1253,-36.0
1254,-36.0
1255,-74.4
1256,-36.0
1257,-60.4
1258,-49.2
1259,-74.4
1260,-36.0
1261,-40.0
1262,-36.0
1263,-36.0
1264,-36.0
1265,-36.0
1266,-36.0
1267,-36.0
1268,-36.0
1269,-53.6
1270,-53.6
1271,-53.2
1272,-49.2
1273,-48.4
1274,-49.2
1275,-36.0
1276,-36.0
1277,-36.0
1278,-36.0
1279,-36.0
1280,-36.0
1281,-31.2
1282,-36.0
1283,-36.0
1284,-55.6
1285,-36.0
1286,-36.0
1287,-60.4
1288,-60.4
1289,-69.2
1290,-53.6
1291,-74.8
1292,-36.0
1293,-53.2
1294,-85.2
1295,-36.0
1296,-28.8
1297,-36.0
1298,-36.0
1299,-124.0
1300,-36.0
1301,-36.0
1302,-36.0
1303,-36.0
1304,-36.0
1305,-36.0
1306,-36.0
1307,-36.0
1308,-54.4
1309,-36.0
1310,-36.0
1311,-50.8
1312,-36.0
1313,-70.0
1314,-31.2
1315,-53.6
1316,-36.0
1317,-45.6
1318,-36.0
1319,-53.6
1320,-36.0
1321,-36.0
1322,-36.0
1323,-36.0
1324,-36.0
1325,-36.0
1326,-53.6
1327,-36.0
1328,-36.0
1329,-36.0
1330,-36.0
1331,-50.8
1332,-70.4
1333,-36.0
1334,-36.0
1335,-31.2
1336,-31.2
1337,-93.6
1338,-74.0
1339,-64.8
1340,-36.0
1341,-35.6
1342,-36.0
1343,-98.8
1344,-49.2
1345,-36.0
1346,-52.8
1347,-36.0
1348,-36.0
1349,-44.8
1350,-36.0
1351,-36.0
1352,-36.0
1353,-36.0
1354,-57.6
1355,-36.0
1356,-36.0
1357,-40.4
1358,-35.6
1359,-36.0
1360,-36.0
1361,-36.0
1362,-36.0
1363,-36.0
1364,-36.0
1365,-25.6
1366,-44.8
1367,-36.0
1368,-36.0
1369,-36.0
1370,-36.0
1371,-36.0
1372,-36.0
1373,-53.6
1374,-36.0
1375,-70.0
1376,-40.0
1377,-36.0
1378,-36.0
1379,-36.0
1380,-36.0
1381,-36.0
1382,-36.0
1383,-36.0
1384,-36.0
1385,-36.0
1386,-36.0
1387,-36.0
1388,-74.4
1389,-36.0
1390,-36.0
1391,-36.0
1392,-36.0
1393,-36.0
1394,-53.6
1395,-44.8
1396,-36.0
1397,-53.6
1398,-31.2
1399,-36.0
1400,-44.8
1401,-42.0
1402,-53.6
1403,-36.0
1404,-36.0
1405,-36.0
1406,-36.0
1407,-36.0
1408,-33.2
1409,-36.0
1410,-36.0
1411,-40.4
1412,-44.8
1413,-36.0
1414,-38.8
1415,-36.0
1416,-36.0
1417,-70.0
1418,-101.6
1419,-53.6
1420,-31.2
1421,-53.6
1422,-36.0
1423,-36.0
1424,-36.0
1425,-49.2
1426,-53.2
1427,-31.2
1428,-63.2
1429,-36.0
1430,-36.0
1431,-36.0
1432,-36.0
1433,-36.0
1434,-36.0
1435,-36.0
1436,-36.0
1437,-36.0
1438,-36.0
1439,-49.2
1440,-36.0
1441,-36.0
1442,-44.8
1443,-53.6
1444,-36.0
1445,-88.4
1446,-49.2
1447,-53.2
1448,-36.0
1449,-41.2
1450,-36.0
1451,-36.0
1452,-48.8
1453,-36.0
1454,-53.6
1455,-36.0
1456,-49.2
1457,-36.0
1458,-36.0
1459,-31.2
1460,-25.6
1461,-36.0
1462,-36.0
1463,-41.2
1464,-36.0
1465,-57.6
1466,-27.2
1467,-36.0
1468,-36.0
1469,-70.0
1470,-36.0
1471,-36.0
1472,-36.0
1473,-36.0
1474,-36.0
1475,-36.0
1476,-36.0
1477,-36.0
1478,-36.0
1479,-49.2
1480,-36.0
1481,-36.0
1482,-30.8
1483,-36.0
1484,-40.0
1485,-31.2
1486,-36.0
1487,-36.0
1488,-36.0
1489,-31.2
1490,-48.0
1491,-36.0
1492,-36.0
1493,-36.0
1494,-103.2
1495,-36.0
1496,-36.0
1497,-53.2
1498,-53.2
1499,-36.0
1500,-36.0
1501,-36.0
1502,-40.0
1503,-36.0
1504,-44.8
1505,-36.0
1506,-36.0
1507,-31.2
1508,-36.0
1509,-36.0
1510,-74.4
1511,-60.4
1512,-36.0
1513,-36.0
1514,-36.0
1515,-36.0
1516,-53.6
1517,-36.0
1518,-36.0
1519,-31.2
1520,-46.4
1521,-31.2
1522,-36.0
1523,-31.2
1524,-36.0
1525,-44.8
1526,-40.4
1527,-36.0
1528,-31.2
1529,-36.0
1530,-49.2
1531,-31.2
1532,-44.8
1533,-36.0
1534,-64.8
1535,-36.0
1536,-53.2
1537,-36.0
1538,-36.0
1539,-36.0
1540,-40.4
1541,-31.2
1542,-36.0
1543,-31.2
1544,-70.0
1545,-36.0
1546,-53.6
1547,-31.2
1548,-74.8
1549,-36.0
1550,-70.0
1551,-78.8
1552,-44.8
1553,-31.2
1554,-53.6
1555,-53.6
1556,-36.0
1557,-36.0
1558,-44.8
1559,-49.2
1560,-36.0
1561,-60.4
1562,-31.6
1563,-41.2
1564,-51.6
1565,-49.2
1566,-36.0
1567,-36.0
1568,-36.0
1569,-36.0
1570,-36.0
1571,-36.0
1572,-36.0
1573,-31.6
1574,-44.0
1575,-36.0
1576,-36.0
1577,-36.0
1578,-36.0
1579,-36.0
1580,-36.0
1581,-36.0
1582,-36.0
1583,-36.0
1584,-49.2
1585,-36.0
1586,-36.0
1587,-61.2
1588,-36.0
1589,-36.0
1590,-36.0
1591,-117.2
1592,-36.0
1593,-36.0
1594,-74.4
1595,-49.2
1596,-36.0
1597,-40.4
1598,-74.4
1599,-36.0
1600,-36.0
1601,-36.0
1602,-36.0
1603,-31.6
1604,-31.2
1605,-36.0
1606,-31.2
1607,-48.0
1608,-36.0
1609,-36.0
1610,-36.0
1611,-36.0
1612,-74.4
1613,-36.0
1614,-46.0
1615,-53.6
1616,-36.0
1617,-60.4
1618,-36.0
1619,-70.0
1620,-36.0
1621,-36.0
1622,-36.0
1623,-31.6
1624,-36.0
1625,-36.0
1626,-44.8
1627,-74.4
1628,-36.0
1629,-36.0
1630,-31.2
1631,-36.0
1632,-36.0
1633,-36.0
1634,-36.0
1635,-35.6
1636,-112.8
1637,-36.0
1638,-78.8
1639,-36.0
1640,-36.0
1641,-36.0
1642,-40.4
1643,-36.0
1644,-36.0
1645,-36.0
1646,-36.0
1647,-36.0
1648,-44.8
1649,-44.4
1650,-36.0
1651,-36.0
1652,-44.8
1653,-36.0
1654,-36.0
1655,-36.0
1656,-36.0
1657,-40.4
1658,-31.6
1659,-49.2
1660,-53.2
1661,-36.0
1662,-65.6
1663,-36.0
1664,-36.0
1665,-36.0
1666,-49.2
1667,-36.0
1668,-70.0
1669,-36.0
1670,-36.0
1671,-36.0
1672,-49.2
1673,-36.0
1674,-49.2
1675,-36.0
1676,-31.2
1677,-45.6
1678,-36.0
1679,-41.2
1680,-21.2
1681,-36.0
1682,-49.2
1683,-36.0
1684,-36.0
1685,-36.0
1686,-53.6
1687,-44.8
1688,-36.0
1689,-44.8
1690,-48.8
1691,-40.4
1692,-74.4
1693,-36.0
1694,-36.0
1695,-31.6
1696,-36.0
1697,-45.6
1698,-102.8
1699,-31.2
1700,-41.2
1701,-36.0
1702,-36.0
1703,-36.0
1704,-36.0
1705,-36.0
1706,-44.4
1707,-53.6
1708,-36.0
1709,-49.2
1710,-70.0
1711,-60.4
1712,-36.0
1713,-36.0
1714,-49.2
1715,-36.0
1716,-55.2
1717,-35.6
1718,-53.2
1719,-31.2
1720,-40.4
1721,-36.0
1722,-31.2
1723,-40.4
1724,-44.0
1725,-36.0
1726,-53.2
1727,-36.0
1728,-31.2
1729,-36.0
1730,-84.8
1731,-70.0
1732,-36.0
1733,-36.0
1734,-36.0
1735,-44.0
1736,-36.0
1737,-49.2
1738,-36.0
1739,-36.0
1740,-31.6
1741,-36.0
1742,-36.0
1743,-36.0
1744,-36.0
1745,-36.0
1746,-36.0
1747,-45.6
1748,-40.0
1749,-53.6
1750,-40.4
1751,-36.0
1752,-36.0
1753,-70.0
1754,-36.0
1755,-55.2
1756,-46.0
1757,-36.0
1758,-31.2
1759,-70.0
1760,-36.0
1761,-36.0
1762,-36.0
1763,-36.0
1764,-44.8
1765,-36.0
1766,-36.0
1767,-44.8
1768,-36.0
1769,-36.0
1770,-35.2
1771,-36.0
1772,-40.4
1773,-36.0
1774,-127.6
1775,-36.0
1776,-70.0
1777,-36.0
1778,-36.0
1779,-78.8
1780,-53.6
1781,-36.0
1782,-36.0
1783,-36.0
1784,-36.0
1785,-31.6
1786,-44.8
1787,-36.0
1788,-74.4
1789,-55.2
1790,-40.4
1791,-49.2
1792,-36.0
1793,-36.0
1794,-53.6
1795,-44.8
1796,-36.0
1797,-36.0
1798,-36.0
1799,-36.0
1800,-36.0
1801,-35.6
1802,-64.8
1803,-54.0
1804,-36.0
1805,-36.0
1806,-36.0
1807,-36.0
1808,-36.0
1809,-64.8
1810,-36.0
1811,-36.0
1812,-36.0
1813,-31.2
1814,-36.0
1815,-31.6
1816,-40.4
1817,-44.8
1818,-53.6
1819,-40.0
1820,-53.2
1821,-60.4
1822,-31.2
1823,-49.2
1824,-84.0
1825,-36.0
1826,-53.6
1827,-36.0
1828,-36.0
1829,-40.4
1830,-36.0
1831,-36.0
1832,-36.0
1833,-31.2
1834,-36.0
1835,-36.0
1836,-36.0
1837,-36.0
1838,-44.8
1839,-44.4
1840,-53.6
1841,-36.0
1842,-31.6
1843,-59.6
1844,-53.6
1845,-49.2
1846,-36.0
1847,-36.0
1848,-36.0
1849,-44.8
1850,-36.0
1851,-36.0
1852,-53.6
1853,-36.0
1854,-49.2
1855,-70.0
1856,-40.4
1857,-36.0
1858,-36.0
1859,-40.4
1860,-36.0
1861,-36.0
1862,-40.4
1863,-36.0
1864,-70.0
1865,-36.0
1866,-31.6
1867,-36.0
1868,-31.2
1869,-36.0
1870,-40.4
1871,-36.0
