,reward
1467,-33.6
1468,-99.2
1469,-96.8
1470,-100.4
1471,-75.6
1472,-114.4
1473,-91.6
1474,-76.8
1475,-67.2
1476,-54.8
1477,-102.0
1478,-62.4
1479,-102.0
1480,-102.4
1481,-94.4
1482,-22.0
1483,-65.2
1484,-68.0
1485,-80.4
1486,-55.2
1487,-103.6
1488,-107.6
1489,-93.2
1490,-49.2
1491,-98.0
1492,-70.0
1493,-76.0
1494,-77.6
1495,-43.2
1496,-58.4
1497,-55.2
1498,-42.4
1499,-71.6
1500,-87.6
1501,-93.6
1502,-71.6
1503,-75.2
1504,-107.6
1505,-66.4
1506,-58.4
1507,-134.8
1508,-64.4
1509,-82.8
1510,-93.6
1511,-84.8
1512,-67.2
1513,-75.2
1514,-70.0
1515,-81.2
1516,-59.2
1517,-58.0
1518,-99.2
1519,-93.6
1520,-84.0
1521,-87.2
1522,-27.2
1523,-53.2
1524,-64.8
1525,-54.8
1526,-58.4
1527,-53.6
1528,-58.8
1529,-112.8
1530,-46.0
1531,-54.0
1532,-26.4
1533,-115.2
1534,-84.4
1535,-90.4
1536,-42.0
1537,-71.6
1538,-69.6
1539,-133.6
1540,-56.8
1541,-74.8
1542,-84.8
1543,-54.0
1544,-90.0
1545,-40.0
1546,-71.6
1547,-71.6
1548,-75.6
1549,-65.2
1550,-12.4
1551,-62.4
1552,-46.4
1553,-88.8
1554,-66.8
1555,-110.0
1556,-96.8
1557,-75.6
1558,-71.2
1559,-76.0
1560,-87.2
1561,-68.0
1562,-78.0
1563,-115.6
1564,-76.8
1565,-104.8
1566,-42.0
1567,-93.6
1568,-52.0
1569,-67.2
1570,-61.6
1571,-107.6
1572,-93.6
1573,-79.2
1574,-103.2
1575,-53.2
1576,-42.4
1577,-100.8
1578,-71.2
1579,-42.0
1580,-84.8
1581,-70.8
1582,-9.2
1583,-95.6
1584,-80.8
1585,-49.2
1586,-95.2
1587,-44.4
1588,-76.8
1589,-84.4
1590,-85.6
1591,-82.8
1592,-89.6
1593,-56.4
1594,-98.4
1595,-146.8
1596,-42.0
1597,-58.0
1598,-11.2
1599,-71.6
1600,-88.8
1601,-76.8
1602,-59.2
1603,-74.0
1604,-46.0
1605,-97.6
1606,-70.8
1607,-34.4
1608,-63.2
1609,-64.0
1610,-89.2
1611,-76.8
1612,-118.0
1613,-62.8
1614,-94.0
1615,-82.0
1616,-56.0
1617,-38.0
1618,-87.2
1619,-74.4
1620,-33.6
1621,-73.6
1622,-62.4
1623,-16.4
1624,-67.2
1625,-37.2
1626,-70.8
1627,-76.0
1628,-60.0
1629,-104.4
1630,-71.6
1631,-67.2
1632,-86.8
1633,-45.2
1634,-70.8
1635,-74.8
1636,-119.6
1637,-76.0
1638,-80.4
1639,-56.4
1640,-54.4
1641,-58.8
1642,-72.0
1643,-88.0
1644,-89.2
1645,-93.6
1646,-58.0
1647,-56.8
1648,-84.8
1649,-62.4
1650,-111.2
1651,-54.8
1652,-26.0
1653,-69.6
1654,-57.6
1655,-45.2
1656,-69.6
1657,-103.2
1658,-101.2
1659,-57.2
1660,-72.4
1661,6.4
1662,-51.2
1663,-66.0
1664,-76.4
1665,-83.6
1666,-100.4
1667,-117.6
1668,-46.8
1669,-71.6
1670,-62.8
1671,-84.8
1672,-62.0
1673,-66.4
1674,-84.8
1675,-79.6
1676,-48.0
1677,-62.4
1678,-46.8
1679,-75.6
1680,-66.8
1681,-84.4
1682,-72.8
1683,-61.2
1684,-91.6
1685,-83.6
1686,-110.8
1687,-53.6
1688,-88.8
1689,-69.2
1690,-62.8
1691,-60.0
1692,-58.4
1693,-89.2
1694,-61.2
1695,-41.2
1696,-71.6
1697,-83.6
1698,-42.4
1699,-83.2
1700,-61.2
1701,-106.8
1702,-76.8
1703,-15.2
1704,-49.2
1705,-88.8
1706,-68.0
1707,-66.0
1708,-50.4
1709,-88.8
1710,-70.8
1711,-82.0
1712,-52.0
1713,-70.4
1714,-20.4
1715,-48.0
1716,-109.6
1717,-127.6
1718,-70.4
1719,-62.8
1720,-99.6
1721,-66.8
1722,-42.8
1723,-66.4
1724,-107.2
1725,-74.8
1726,-21.6
1727,-80.0
1728,-93.6
1729,-87.2
1730,-54.0
1731,47.333333333333336
1732,-82.8
1733,-89.2
1734,-50.0
1735,-79.2
1736,-60.4
1737,-66.0
1738,-80.4
1739,-65.2
1740,-62.4
1741,-93.6
1742,-65.6
1743,-80.4
1744,-54.0
1745,-90.0
1746,-59.6
1747,-20.4
1748,-39.2
1749,-89.2
1750,-90.8
1751,-76.0
1752,-80.0
1753,-83.2
1754,-93.2
1755,-38.8
1756,-58.0
1757,-70.4
1758,-68.8
1759,-51.2
1760,-88.8
1761,-66.8
1762,-89.2
1763,-82.4
1764,-54.0
1765,-92.8
1766,-64.4
1767,-154.4
1768,-38.8
1769,10.4
1770,-62.8
1771,-82.4
1772,-42.4
1773,-56.4
1774,-71.6
1775,-72.0
1776,-56.4
1777,-50.8
1778,-32.0
1779,-71.6
1780,-52.8
1781,-76.8
1782,-83.6
1783,-58.8
1784,-82.0
1785,-38.4
1786,-72.0
1787,-40.0
1788,-94.4
1789,-77.2
1790,-93.6
1791,-66.8
1792,-80.8
1793,-88.8
1794,-98.0
1795,-8.4
1796,-93.6
1797,-165.2
1798,-71.6
1799,-107.2
1800,-105.6
1801,-69.2
1802,-60.8
1803,-53.6
1804,-69.2
1805,-146.0
1806,-62.8
1807,-80.0
1808,-53.6
1809,-98.0
1810,-91.6
1811,-82.4
1812,-98.4
1813,-70.8
1814,-50.8
1815,-71.2
1816,-96.8
1817,-80.4
1818,-203.6
1819,-92.0
1820,-66.8
1821,-121.6
1822,-55.6
1823,-98.4
1824,-70.8
1825,-84.8
1826,-48.8
1827,-139.6
1828,-54.0
1829,-60.4
1830,-38.4
1831,-80.4
1832,-68.0
1833,-75.6
1834,-53.6
1835,-75.6
1836,-84.4
1837,-90.0
1838,-60.0
1839,-23.2
1840,-58.4
1841,-66.8
1842,-130.8
1843,-79.2
1844,-93.2
1845,-43.6
1846,-80.4
1847,-75.6
1848,-23.2
1849,-62.8
1850,-68.8
1851,-62.0
1852,-146.8
1853,-81.2
1854,-76.8
1855,-71.6
1856,-54.0
1857,-70.8
1858,-38.4
1859,-85.6
1860,-84.0
1861,-80.4
1862,-54.0
1863,-53.6
1864,-76.4
1865,-99.2
1866,-98.0
1867,-52.4
1868,-72.0
1869,-82.0
1870,-62.4
1871,-18.4
1872,-76.0
